,staffed_beds,licensed_beds,icu_beds,FIPS
1156,25,35,0,29075
1157,1632,1955,129,29077
1158,21,25,0,29079
1159,14,19,0,29081
1160,96,97,8,29083
1161,128,139,12,29091
1162,15,15,0,29093
1163,2419,3018,279,29095
1164,706,706,87,29097
1165,279,341,28,29099
1166,46,75,0,29101
1167,43,58,4,29105
1168,25,32,2,29107
1169,25,53,0,29109
1170,25,25,4,29113
1171,25,54,0,29115
1172,25,25,0,29117
1173,25,25,0,29121
1174,25,144,0,29123
1175,86,99,8,29127
1176,25,49,0,29145
1177,38,81,0,29147
1178,49,167,7,29155
1179,25,25,0,29157
1180,108,145,9,29159
1181,172,242,18,29161
1182,25,25,0,29163
1183,118,97,0,29165
1184,52,86,8,29167
1185,46,0,0,29169
1186,15,15,0,29171
1187,33,99,8,29175
1188,25,34,0,29177
1189,1208,1016,39,29183
1190,12,12,0,29185
1194,25,47,0,29186
1191,433,133,10,29187
1192,5172,4894,460,29189
1195,42,60,7,29195
1196,25,25,0,29199
1197,110,144,12,29201
1198,48,48,4,29207
1199,17,25,0,29211
1200,105,157,18,29213
1201,47,66,4,29215
1202,57,140,6,29217
1203,25,25,0,29221
1193,2694,2281,196,29510
1276,18,0,0,30001
1277,49,0,0,30003
1278,6,0,0,30005
1279,25,0,0,30007
1280,10,0,0,30009
1281,25,0,0,30011
1282,552,635,20,30013
1283,33,0,0,30015
1284,25,0,4,30017
1285,25,0,0,30019
1286,25,0,3,30021
1287,199,0,0,30023
1288,25,0,0,30025
1289,23,0,0,30027
1290,220,30,22,30029
1291,87,86,8,30031
1292,4,0,0,30033
1293,46,0,0,30035
1294,25,0,0,30039
1295,49,49,6,30041
1296,47,0,0,30047
1297,131,143,8,30049
1298,25,0,0,30051
1299,25,0,0,30053
1301,25,0,0,30055
1300,20,0,0,30057
1302,25,0,0,30059
1303,24,0,0,30061
1304,299,404,32,30063
1305,25,0,0,30065
1306,25,0,4,30067
1307,6,0,0,30071
1308,20,0,0,30073
1309,16,0,0,30077
1310,22,0,0,30079
1311,25,0,5,30081
1312,25,0,0,30083
1313,75,0,0,30085
1314,25,0,1,30087
1315,16,0,0,30089
1316,19,0,0,30091
1317,71,98,11,30093
1318,10,0,0,30095
1319,25,0,0,30097
1320,25,0,0,30099
1321,21,0,0,30101
1322,25,0,0,30105
1323,25,0,0,30107
1324,577,611,41,30111
1441,127,162,10,31001
1442,23,23,0,31003
1443,25,25,0,31011
1444,25,25,0,31013
1445,20,20,0,31015
1446,23,23,0,31017
1447,362,266,34,31019
1448,16,16,0,31021
1449,20,20,0,31023
1450,22,20,0,31029
1451,25,0,0,31031
1452,19,25,4,31033
1453,25,25,0,31037
1454,25,25,0,31039
1455,35,35,0,31041
1456,25,25,0,31045
1457,57,57,0,31047
1458,50,70,0,31053
1459,2208,2705,234,31055
1460,14,14,0,31057
1461,20,20,0,31059
1462,14,14,0,31061
1463,20,20,0,31065
1464,25,25,3,31067
1465,10,10,0,31069
1466,140,159,16,31079
1467,14,12,0,31081
1468,19,19,0,31083
1469,42,42,0,31089
1470,16,16,0,31093
1471,17,17,0,31095
1472,18,18,0,31097
1473,10,10,0,31099
1474,18,18,0,31101
1475,15,15,0,31105
1476,23,23,0,31107
1477,1392,1144,52,31109
1478,97,116,19,31111
1479,131,0,24,31119
1480,20,20,0,31121
1481,20,20,0,31123
1482,19,19,0,31125
1483,16,16,0,31127
1484,25,25,0,31129
1485,28,36,0,31131
1486,17,11,0,31133
1487,20,20,0,31135
1488,25,25,0,31137
1489,35,35,0,31139
1490,47,47,5,31141
1491,16,16,0,31143
1492,25,25,0,31145
1493,24,24,0,31147
1494,24,24,0,31149
1495,43,43,0,31151
1496,89,212,8,31153
1497,16,16,0,31155
1498,122,166,22,31157
1499,24,24,0,31159
1500,25,25,0,31161
1501,19,17,0,31169
1502,34,21,0,31173
1503,16,16,0,31175
1504,21,21,0,31177
1505,25,0,0,31179
1506,13,13,0,31181
1507,38,38,0,31185
1565,25,40,0,32001
1566,6323,5370,452,32003
1567,23,23,0,32005
1568,59,75,7,32007
1569,25,53,3,32013
1570,5,25,0,32015
1571,4,20,0,32017
1572,14,63,0,32019
1573,11,35,0,32021
1574,25,25,0,32023
1575,13,38,0,32027
1576,1429,1705,290,32031
1577,25,25,0,32033
1564,219,234,24,32510
1508,86,137,10,33001
1509,50,50,8,33003
1510,86,169,27,33005
1511,66,66,3,33007
1512,553,506,52,33009
1513,1002,1082,62,33011
1514,474,395,18,33013
1515,506,573,43,33015
1516,182,290,17,33017
1517,25,25,0,33019
1518,1602,906,54,34001
1519,3025,3011,112,34003
1520,983,1046,82,34005
1521,2244,2142,166,34007
1522,149,242,16,34009
1523,321,335,12,34011
1524,2906,3581,215,34013
1525,233,311,14,34015
1526,1086,1851,89,34017
1527,170,184,12,34019
1528,1399,1147,80,34021
1529,2808,2071,97,34023
1530,1643,2151,128,34025
1531,1867,1528,81,34027
1532,1325,1528,94,34029
1533,1740,1187,53,34031
1534,209,222,19,34033
1535,820,642,28,34035
1536,130,148,10,34037
1537,1010,1401,55,34039
1538,156,309,20,34041
1539,2647,1958,117,35001
1540,204,232,24,35005
1541,31,25,4,35006
1542,25,25,4,35007
1543,106,106,8,35009
1544,663,427,51,35013
1545,130,164,12,35015
1546,32,68,6,35017
1547,10,10,0,35019
1548,86,230,8,35025
1549,25,25,4,35027
1550,47,47,6,35028
1551,25,25,6,35029
1552,148,98,5,35031
1553,56,100,10,35035
1554,52,70,8,35039
1555,20,24,0,35041
1558,200,259,0,35043
1556,260,210,10,35045
1557,226,175,8,35047
1559,244,219,24,35049
1560,11,25,0,35051
1561,24,24,0,35053
1562,6,25,6,35055
1563,50,50,0,35059
1578,1623,899,81,36001
1579,69,70,6,36003
1580,4602,3000,201,36005
1581,772,742,47,36007
1582,260,186,0,36009
1583,85,99,0,36011
1584,208,386,26,36013
1585,325,391,20,36015
1586,58,58,7,36017
1587,300,300,21,36019
1588,95,192,9,36021
1589,103,162,12,36023
1590,56,0,0,36025
1591,874,692,27,36027
1592,2653,2664,190,36029
1593,25,0,0,36031
1594,131,171,13,36033
1595,58,74,8,36035
1596,131,0,10,36037
1597,25,0,0,36043
1598,287,290,10,36045
1599,4557,5746,248,36047
1600,25,0,6,36049
1601,67,67,0,36051
1602,126,101,6,36053
1603,2038,1139,154,36055
1604,100,120,8,36057
1605,4187,4377,235,36059
1606,9382,9378,725,36061
1607,411,482,32,36063
1608,903,701,26,36065
1609,2113,1762,118,36067
1610,307,399,27,36069
1611,986,807,76,36071
1612,25,0,0,36073
1613,132,132,8,36075
1614,227,180,14,36077
1615,120,164,10,36079
1616,3438,2857,92,36081
1617,257,227,24,36083
1618,1254,1114,62,36085
1619,1144,791,0,36087
1620,384,259,20,36089
1621,259,171,0,36091
1622,351,538,36,36093
1623,40,40,0,36095
1624,25,0,0,36097
1625,95,115,8,36101
1626,3509,3181,250,36103
1627,99,154,0,36105
1628,163,212,16,36109
1629,209,300,25,36111
1630,361,406,24,36113
1631,101,120,8,36117
1632,3160,3396,158,36119
1633,50,62,5,36121
1634,25,0,0,36123
1325,176,238,20,37001
1326,25,41,0,37005
1327,15,15,0,37007
1328,25,76,0,37009
1329,21,50,0,37011
1330,72,142,8,37013
1331,6,6,0,37015
1332,25,58,4,37017
1333,126,99,19,37019
1334,1708,884,146,37021
1335,587,315,16,37023
1336,540,497,15,37025
1337,110,110,12,37027
1338,99,135,8,37031
1339,426,613,52,37035
1340,25,25,4,37037
1341,25,57,0,37039
1342,25,49,4,37041
1343,292,308,57,37045
1344,154,154,0,37047
1345,286,350,72,37049
1346,726,700,56,37051
1347,21,21,0,37055
1348,154,240,29,37057
1349,50,50,0,37059
1350,49,81,9,37061
1351,1376,1374,70,37063
1352,101,117,15,37065
1353,2172,1878,180,37067
1354,423,475,57,37071
1355,1342,142,6,37077
1356,1354,1411,107,37081
1357,106,204,16,37083
1358,268,151,14,37085
1359,122,159,12,37087
1360,233,325,27,37089
1361,70,114,10,37091
1362,61,49,0,37093
1363,406,514,36,37097
1364,82,86,9,37099
1365,229,199,24,37101
1366,127,137,8,37105
1367,1086,261,0,37107
1368,101,101,10,37109
1371,49,65,9,37111
1369,49,83,5,37113
1370,43,49,6,37117
1372,2898,2646,141,37119
1373,25,46,0,37121
1374,4,37,0,37123
1375,412,402,0,37125
1376,372,395,21,37127
1377,992,769,29,37129
1378,306,162,14,37133
1379,1086,905,0,37135
1380,91,182,10,37139
1381,25,86,0,37141
1382,38,98,6,37145
1383,930,909,71,37147
1384,25,35,6,37149
1385,145,145,12,37151
1386,99,99,0,37153
1387,256,452,25,37155
1388,218,218,9,37157
1389,169,268,20,37159
1390,111,143,18,37161
1391,71,146,8,37163
1392,97,104,8,37165
1393,97,109,10,37167
1394,25,99,0,37169
1395,181,226,10,37171
1396,44,48,0,37173
1397,25,92,4,37175
1398,182,252,14,37179
1399,91,102,20,37181
1400,2920,1704,117,37183
1401,25,0,0,37187
1402,95,117,10,37189
1403,514,316,16,37191
1404,93,130,8,37193
1405,270,294,14,37195
1406,25,25,0,38001
1407,25,25,0,38003
1408,25,25,0,38009
1409,23,23,0,38011
1410,458,510,52,38015
1411,1407,1052,111,38017
1412,20,20,0,38019
1413,20,20,0,38021
1414,15,15,0,38023
1415,14,14,0,38029
1416,25,25,0,38031
1417,384,404,16,38035
1418,30,30,0,38037
1419,18,18,0,38039
1420,44,44,0,38051
1421,24,24,0,38053
1422,47,47,0,38055
1423,13,13,0,38057
1424,41,41,0,38059
1425,11,11,0,38061
1426,19,19,0,38063
1427,20,20,0,38067
1428,25,25,0,38069
1429,25,25,0,38071
1430,25,25,0,38073
1431,52,25,0,38079
1432,12,0,0,38085
1433,25,25,4,38089
1434,131,165,6,38093
1435,20,20,0,38095
1436,41,41,0,38097
1437,28,28,0,38099
1438,466,441,19,38101
1439,25,25,0,38103
1440,50,50,0,38105
1635,25,25,0,39001
1636,529,830,34,39003
1637,39,123,6,39005
1638,286,431,19,39007
1639,156,0,0,39009
1640,36,131,6,39011
1641,185,45,0,39013
1642,809,593,56,39017
1643,25,0,0,39021
1644,270,40,38,39023
1645,147,160,16,39025
1646,89,165,6,39027
1647,219,199,20,39029
1648,56,56,7,39031
1649,50,75,9,39033
1650,5850,5935,397,39035
1651,40,104,6,39037
1652,73,104,8,39039
1653,124,60,6,39041
1654,410,405,18,39043
1655,213,245,20,39045
1656,25,25,0,39047
1657,5911,3692,368,39049
1658,25,117,7,39051
1659,157,287,14,39053
1660,124,0,12,39055
1661,235,206,20,39057
1662,156,255,11,39059
1663,3829,3626,232,39061
1664,141,176,0,39063
1665,25,25,0,39065
1666,25,25,0,39067
1667,25,31,5,39069
1668,50,70,0,39071
1669,25,0,0,39073
1670,41,69,4,39075
1671,148,198,22,39077
1672,24,25,0,39079
1673,448,500,12,39081
1674,65,111,12,39083
1675,709,531,27,39085
1676,8,8,0,39087
1677,262,35,13,39089
1678,39,115,0,39091
1679,838,453,54,39093
1680,2468,3274,158,39095
1681,45,94,13,39097
1682,826,1100,38,39099
1683,174,0,15,39101
1684,150,191,12,39103
1685,42,88,5,39107
1686,119,182,10,39109
1687,2153,2327,208,39113
1688,23,25,3,39117
1689,282,321,24,39119
1690,25,25,4,39123
1691,25,25,0,39125
1692,83,83,8,39129
1693,25,25,0,39131
1694,191,302,16,39133
1695,279,358,37,39139
1696,189,261,12,39141
1697,102,186,8,39143
1698,202,446,16,39145
1699,94,145,9,39147
1700,61,90,7,39149
1701,1006,1523,68,39151
1702,2260,2097,145,39153
1703,435,590,42,39155
1704,153,174,10,39157
1705,60,97,7,39159
1706,145,195,5,39161
1707,265,340,16,39165
1708,213,243,11,39167
1709,129,184,14,39169
1710,100,123,7,39171
1711,149,0,10,39173
1712,24,31,0,39175
1713,30,67,0,40001
1714,25,25,0,40005
1715,24,24,0,40007
1716,34,62,6,40009
1717,42,42,0,40011
1718,140,148,8,40013
1719,42,42,0,40015
1720,74,75,8,40017
1721,162,212,13,40019
1722,122,98,14,40021
1723,34,34,0,40023
1724,25,25,0,40025
1725,1025,605,52,40027
1726,20,20,0,40029
1727,365,512,28,40031
1728,235,55,0,40035
1729,95,95,0,40037
1730,70,81,4,40039
1731,58,58,6,40041
1732,18,18,0,40043
1733,25,25,0,40045
1734,349,436,30,40047
1735,26,26,0,40049
1736,49,75,9,40051
1737,18,18,0,40055
1738,22,25,0,40057
1739,15,25,0,40059
1740,25,25,0,40063
1741,49,49,6,40065
1742,25,25,0,40067
1743,25,25,0,40069
1744,82,189,10,40071
1745,25,25,0,40073
1746,38,38,0,40075
1747,43,0,0,40077
1748,25,43,4,40079
1749,50,50,0,40081
1750,25,25,0,40083
1751,25,25,0,40085
1755,39,39,0,40087
1756,77,0,6,40089
1752,25,25,0,40093
1753,21,25,0,40095
1754,24,48,0,40097
1757,25,25,0,40099
1758,373,384,24,40101
1759,26,26,0,40103
1760,25,25,0,40105
1761,25,0,0,40107
1762,4337,4357,267,40109
1763,107,107,0,40111
1764,40,40,0,40113
1765,144,167,9,40115
1766,14,14,0,40117
1767,161,216,11,40119
1768,132,164,15,40121
1769,240,216,12,40123
1770,111,130,14,40125
1771,42,0,0,40127
1772,15,15,0,40129
1773,100,81,6,40131
1774,32,32,0,40133
1775,41,41,0,40135
1776,86,138,9,40137
1777,47,47,0,40139
1778,3313,3360,276,40143
1779,100,100,6,40145
1780,81,140,0,40147
1781,14,14,0,40149
1782,25,25,0,40151
1783,64,115,6,40153
1784,21,36,2,41001
1785,169,188,12,41003
1786,453,549,54,41005
1787,48,83,4,41007
1788,166,218,12,41011
1789,16,16,0,41013
1790,16,24,0,41015
1791,270,304,36,41017
1792,156,190,32,41019
1793,14,25,0,41023
1794,19,25,2,41025
1795,25,25,0,41027
1796,458,595,34,41029
1797,25,25,0,41031
1798,121,125,12,41033
1799,105,176,0,41035
1800,24,24,0,41037
1801,721,599,71,41039
1802,50,50,0,41041
1803,92,128,11,41043
1804,44,49,8,41045
1805,1067,543,68,41047
1806,21,21,0,41049
1807,2852,2598,165,41051
1808,15,25,0,41053
1809,25,49,4,41057
1810,66,98,8,41059
1811,25,25,4,41061
1812,23,25,0,41063
1813,43,49,17,41065
1814,989,795,85,41067
1815,90,128,11,41071
1816,76,76,8,42001
1817,6602,6736,443,42003
1818,131,154,12,42005
1819,229,320,20,42007
1820,40,49,4,42009
1821,1142,1326,50,42011
1822,496,518,42,42013
1823,310,314,42,42015
1824,1105,1155,91,42017
1825,292,296,35,42019
1826,423,539,19,42021
1827,68,159,6,42025
1828,432,440,0,42027
1829,1133,1109,54,42029
1830,169,146,7,42031
1831,241,315,15,42033
1832,63,68,0,42035
1833,143,173,22,42037
1834,170,242,16,42039
1835,724,684,31,42041
1836,1516,1433,36,42043
1837,2036,1329,101,42045
1838,25,35,0,42047
1839,1040,1116,40,42049
1840,210,235,15,42051
1841,299,314,0,42055
1842,21,21,0,42057
1843,23,49,0,42059
1844,57,62,7,42061
1845,134,166,12,42063
1846,69,84,5,42065
1847,855,984,53,42069
1848,1031,941,73,42071
1849,206,207,12,42073
1850,393,273,18,42075
1851,2277,1271,98,42077
1852,1248,1114,67,42079
1853,303,300,32,42081
1854,138,138,10,42083
1855,562,478,26,42085
1856,109,123,10,42087
1857,295,239,24,42089
1858,3019,2778,165,42091
1859,848,773,68,42093
1860,1000,1220,80,42095
1861,45,0,0,42097
1862,6540,7129,387,42101
1863,25,59,4,42105
1864,266,349,26,42107
1865,148,185,6,42111
1866,50,50,4,42115
1867,25,25,6,42117
1868,123,132,12,42119
1869,118,158,8,42121
1870,237,237,6,42123
1871,448,578,16,42125
1872,76,112,8,42127
1873,794,974,33,42129
1874,44,44,6,42131
1875,808,985,70,42133
1900,323,359,15,44003
1901,102,129,10,44005
1902,3416,2627,204,44007
1903,154,225,17,44009
1904,25,25,6,45001
1905,204,259,35,45003
1906,25,25,0,45005
1907,532,793,25,45007
1908,318,290,24,45013
1909,2172,2029,221,45019
1910,44,125,12,45021
1911,36,82,6,45023
1912,48,59,6,45025
1913,49,81,6,45027
1914,102,135,8,45029
1915,152,188,12,45031
1916,72,79,6,45033
1917,94,94,0,45035
1918,25,25,0,45037
1919,1011,1033,63,45041
1920,131,131,10,45043
1921,1560,1748,123,45045
1922,332,400,20,45047
1923,32,32,6,45049
1924,1032,973,100,45051
1925,41,41,4,45053
1926,121,121,10,45055
1927,208,253,20,45057
1928,43,76,0,45059
1929,634,636,37,45063
1930,94,124,10,45067
1931,48,90,7,45071
1932,122,169,0,45073
1933,266,301,20,45075
1934,131,164,4,45077
1935,2339,1490,82,45079
1936,748,884,41,45083
1937,173,283,17,45085
1938,49,143,6,45087
1939,25,25,4,45089
1940,318,338,24,45091
1941,25,25,6,46005
1942,14,14,0,46007
1943,50,50,0,46009
1944,49,49,0,46011
1945,97,157,6,46013
1946,25,25,0,46015
1947,37,37,0,46023
1948,25,25,0,46027
1949,81,81,8,46029
1950,11,11,0,46033
1951,50,67,8,46035
1952,20,25,0,46037
1953,10,10,0,46039
1954,8,0,0,46041
1955,11,11,0,46043
1956,12,12,0,46045
1957,25,25,0,46047
1958,12,12,0,46049
1959,25,25,0,46051
1960,41,41,0,46053
1961,18,18,0,46055
1962,25,0,0,46059
1963,50,50,6,46065
1964,50,50,0,46067
1965,16,16,0,46073
1966,6,6,0,46077
1967,22,22,0,46079
1968,45,62,5,46081
1969,64,64,0,46083
1971,4,6,0,46089
1970,20,20,0,46091
1972,79,25,3,46093
1973,1296,1150,56,46099
1974,18,18,0,46101
1975,45,0,0,46102
1976,403,449,38,46103
1977,10,10,0,46107
1978,25,25,0,46109
1979,23,25,0,46115
1980,35,0,0,46121
1981,25,25,0,46123
1982,12,12,0,46125
1983,38,40,0,46127
1984,25,25,4,46129
1985,168,232,10,46135
1986,220,317,25,47001
1987,44,60,8,47003
1988,25,25,0,47005
1989,25,25,0,47007
1990,348,459,8,47009
1991,183,251,27,47011
1992,81,120,10,47013
1993,30,60,0,47015
1994,42,70,0,47017
1995,109,121,8,47019
1996,12,12,0,47021
1997,33,85,5,47025
1998,32,74,5,47029
1999,123,160,13,47031
2000,73,189,12,47035
2001,3658,4073,359,47037
2002,40,40,0,47039
2003,52,71,4,47041
2004,91,157,6,47043
2005,109,225,14,47045
2006,152,173,10,47051
2007,47,70,3,47053
2008,81,95,6,47055
2009,189,240,17,47059
2010,116,167,20,47063
2011,2141,2052,151,47065
2012,10,10,0,47067
2013,175,238,0,47069
2014,49,58,0,47071
2015,32,50,6,47073
2016,36,45,0,47077
2017,64,142,0,47079
2018,25,25,0,47081
2019,25,25,0,47083
2020,25,25,0,47085
2021,58,58,6,47089
2022,2,2,0,47091
2023,1751,1253,147,47093
2024,25,25,0,47097
2025,89,99,6,47099
2026,49,59,6,47103
2027,30,50,5,47105
2033,88,118,4,47107
2028,25,25,0,47111
2029,870,177,89,47113
2030,28,70,0,47115
2031,25,25,0,47117
2032,281,271,41,47119
2034,59,59,0,47123
2035,260,296,21,47125
2036,63,173,0,47131
2037,90,114,6,47133
2038,21,53,0,47135
2039,247,285,38,47141
2040,25,25,3,47143
2041,52,54,6,47145
2042,109,109,8,47147
2043,759,491,78,47149
2044,25,25,0,47151
2045,58,79,16,47155
2046,4470,4745,196,47157
2047,25,25,2,47159
2048,851,1139,92,47163
2049,255,265,38,47165
2050,47,100,0,47167
2051,25,25,0,47169
2052,10,48,0,47171
2053,100,125,8,47177
2054,630,581,76,47179
2055,30,80,0,47181
2056,94,156,0,47183
2057,32,60,4,47185
2058,543,270,28,47187
2059,170,170,12,47189
2060,150,0,10,48001
2061,30,34,0,48003
2062,367,446,39,48005
2063,67,67,6,48013
2064,32,32,0,48015
2065,25,25,0,48017
2066,8,8,0,48021
2067,27,49,0,48023
2068,40,69,8,48025
2069,1241,365,90,48027
2070,8584,7596,505,48029
2071,25,25,0,48035
2072,679,864,58,48037
2073,247,312,16,48039
2074,579,537,48,48041
2075,25,25,3,48043
2076,77,188,12,48049
2077,15,25,0,48051
2078,71,71,12,48053
2079,57,59,0,48055
2080,25,25,6,48057
2081,1214,1277,96,48061
2082,25,25,0,48063
2083,43,43,0,48067
2084,17,17,0,48069
2085,39,39,0,48071
2086,346,97,0,48073
2087,39,39,0,48075
2088,25,25,0,48077
2089,18,18,0,48079
2090,25,25,0,48083
2091,1826,1928,82,48085
2092,13,13,0,48087
2093,61,65,0,48089
2094,324,340,16,48091
2095,25,25,0,48093
2096,16,16,0,48095
2097,54,78,5,48097
2098,25,25,4,48099
2099,25,25,0,48103
2100,25,25,0,48107
2101,14,14,0,48109
2102,21,21,0,48111
2103,7823,7317,508,48113
2104,22,23,0,48115
2106,30,42,0,48117
2107,1464,1349,85,48121
2105,44,49,0,48123
2108,25,25,0,48127
2109,36,52,0,48133
2110,560,638,30,48135
2112,166,189,18,48139
2111,2763,2094,225,48141
2113,50,98,5,48143
2114,36,36,0,48145
2115,317,25,2,48147
2116,38,65,0,48149
2117,14,14,0,48151
2118,25,25,0,48153
2119,1327,1268,146,48157
2120,37,37,0,48161
2121,24,22,0,48163
2122,25,33,0,48165
2123,1363,252,0,48167
2124,57,86,10,48171
2125,34,33,0,48177
2126,97,115,8,48179
2127,663,623,71,48181
2128,644,681,57,48183
2129,18,25,0,48185
2130,123,133,9,48187
2131,69,68,5,48189
2132,42,42,0,48193
2133,14,14,0,48195
2134,24,24,0,48197
2135,14802,13137,1039,48201
2136,149,149,42,48203
2137,25,25,0,48207
2138,391,385,42,48209
2139,15,26,0,48211
2140,127,127,10,48213
2141,2212,2332,195,48215
2142,25,116,0,48217
2143,48,48,0,48219
2144,48,73,12,48221
2145,56,96,14,48223
2146,25,0,0,48225
2147,275,150,8,48227
2148,176,181,16,48231
2149,25,25,4,48233
2150,17,17,0,48237
2151,25,25,0,48239
2152,40,59,6,48241
2153,1362,1179,88,48245
2154,72,135,8,48249
2155,346,501,35,48251
2156,7,45,0,48253
2157,25,25,0,48255
2158,351,91,8,48257
2159,302,124,12,48265
2160,15,15,0,48267
2161,50,96,10,48273
2162,28,28,0,48275
2163,154,202,20,48277
2164,42,75,0,48279
2165,25,25,0,48281
2166,50,50,3,48285
2167,41,32,0,48291
2168,69,78,6,48293
2169,25,27,0,48299
2170,2730,1569,194,48303
2171,25,24,0,48305
2176,14,25,0,48307
2177,738,526,42,48309
2172,15,25,0,48313
2173,18,18,0,48317
2174,63,75,6,48321
2175,86,101,10,48323
2178,25,25,0,48325
2179,626,554,0,48329
2180,25,25,0,48335
2181,55,87,0,48337
2182,1491,1431,113,48339
2183,19,25,3,48341
2184,297,392,27,48347
2185,49,162,9,48349
2186,39,86,5,48353
2187,1808,1872,105,48355
2188,25,25,0,48357
2189,48,74,8,48363
2190,42,42,0,48365
2191,108,129,20,48367
2192,25,25,0,48369
2193,39,39,0,48371
2194,52,66,8,48373
2195,1354,967,51,48375
2196,7,7,0,48383
2197,25,25,0,48389
2198,20,0,0,48391
2199,61,69,6,48397
2200,31,50,0,48399
2201,41,96,0,48401
2202,25,25,0,48403
2203,9,18,0,48405
2204,14,14,0,48413
2205,25,25,0,48415
2206,1632,1234,211,48423
2207,16,16,0,48425
2208,48,48,0,48427
2209,14,40,0,48429
2210,20,20,0,48433
2211,12,12,0,48435
2212,20,20,0,48437
2213,5952,5762,372,48439
2214,733,878,66,48441
2215,26,45,0,48445
2216,14,14,0,48447
2217,49,174,8,48449
2218,580,470,29,48451
2219,3005,2714,301,48453
2220,25,49,0,48457
2221,26,29,0,48461
2222,21,25,6,48463
2223,47,93,7,48465
2224,685,717,35,48469
2225,90,123,6,48471
2226,21,25,0,48475
2227,50,60,5,48477
2228,515,557,56,48479
2229,26,49,4,48481
2230,41,41,0,48483
2231,812,479,12,48485
2232,398,47,0,48487
2233,954,848,100,48491
2234,44,44,4,48493
2235,19,19,0,48495
2236,49,99,21,48497
2237,48,50,0,48499
2238,24,24,0,48501
2239,50,50,0,48503
2240,30,74,0,49001
2241,56,74,0,49003
2242,152,168,14,49005
2243,49,0,6,49007
2244,310,390,22,49011
2245,35,49,4,49013
2246,15,36,0,49017
2247,17,17,0,49019
2248,48,48,6,49021
2249,25,25,0,49023
2250,25,25,0,49025
2251,37,37,0,49027
2252,2967,3377,230,49035
2253,32,36,1,49037
2254,43,43,0,49039
2255,24,29,0,49041
2256,37,38,4,49043
2257,36,44,4,49045
2258,39,39,4,49047
2259,1227,1384,122,49049
2260,19,19,0,49051
2261,164,245,32,49053
2262,457,593,64,49057
2336,25,45,0,50001
2337,78,99,10,50003
2338,25,75,4,50005
2339,415,522,21,50007
2340,53,70,0,50011
2341,25,43,0,50015
2342,25,52,2,50017
2343,25,49,5,50019
2344,124,188,13,50021
2345,101,130,14,50023
2346,185,229,0,50025
2347,50,144,0,50027
2263,46,0,10,51001
2264,150,0,12,51003
2266,95,0,10,51005
2267,305,0,32,51013
2268,209,0,8,51015
2269,14,0,0,51017
2270,34,0,6,51019
2272,49,0,12,51027
2275,450,0,94,51041
2276,70,0,6,51047
2278,2,0,0,51051
2280,67,0,7,51057
2281,2807,0,142,51059
2282,97,0,8,51061
2283,37,0,4,51067
2287,25,0,0,51071
2288,67,0,7,51073
2289,107,0,12,51083
2291,264,0,24,51085
2293,1018,0,81,51087
2295,276,0,26,51095
2296,25,0,0,51103
2298,429,0,33,51107
2302,70,0,0,51117
2303,198,0,22,51121
2304,94,0,0,51127
2308,180,0,0,51135
2309,25,0,0,51139
2312,86,0,8,51147
2313,207,0,24,51153
2314,92,0,8,51155
2316,270,0,0,51161
2318,49,0,5,51167
2320,25,0,0,51171
2321,139,0,4,51173
2322,105,0,12,51177
2323,90,0,4,51179
2326,207,0,12,51185
2328,46,0,8,51187
2329,115,0,14,51191
2331,68,0,8,51195
2332,92,0,6,51197
2333,110,0,0,51199
2265,339,0,40,51510
2271,25,0,0,51520
2273,786,0,14,51540
2274,310,0,28,51550
2277,367,0,34,51590
2279,70,0,7,51595
2284,75,0,8,51620
2285,533,0,0,51630
2286,141,0,10,51640
2290,251,0,24,51650
2292,238,0,34,51660
2294,107,0,17,51670
2297,25,0,0,51678
2299,555,0,37,51680
2300,94,0,11,51683
2301,223,0,0,51690
2305,605,0,34,51700
2306,1346,0,87,51710
2307,233,0,11,51720
2310,618,0,28,51730
2311,417,0,22,51740
2315,2507,0,33,51760
2317,747,0,36,51770
2319,330,0,24,51775
2324,132,0,0,51790
2325,155,0,12,51800
2327,487,0,38,51810
2330,389,0,48,51840
2348,28,0,0,53001
2349,25,0,0,53003
2350,453,32,44,53005
2351,221,0,20,53007
2352,103,0,19,53009
2353,746,220,96,53011
2354,25,0,0,53013
2355,166,346,18,53015
2356,25,0,0,53019
2357,25,95,0,53021
2358,25,0,0,53023
2359,123,0,12,53025
2360,108,0,8,53027
2361,30,0,6,53029
2362,25,0,6,53031
2363,4354,2228,541,53033
2364,334,336,20,53035
2365,25,0,6,53037
2366,28,0,0,53039
2367,152,0,6,53041
2368,50,0,0,53043
2369,25,0,6,53045
2370,71,0,0,53047
2371,35,0,0,53049
2372,20,0,0,53051
2373,2531,552,197,53053
2374,10,10,0,53055
2375,205,25,6,53057
2376,863,0,72,53061
2377,1896,16,79,53063
2378,48,0,0,53065
2379,411,0,72,53067
2380,120,0,28,53071
2381,207,241,24,53073
2382,50,0,6,53075
2383,258,0,52,53077
2448,12,72,0,54001
2449,146,241,20,54003
2450,25,25,0,54005
2451,25,25,0,54007
2452,1068,961,32,54011
2453,25,42,0,54013
2454,50,94,3,54019
2455,25,61,3,54023
2456,92,122,12,54025
2457,14,44,0,54027
2458,199,251,10,54029
2459,423,292,20,54033
2460,25,46,0,54035
2461,25,25,5,54037
2462,1706,1381,100,54039
2463,220,70,6,54041
2464,132,140,12,54045
